Row ID,Order ID,Order Date,Ship Date,Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sales,Quantity,Discount,Profit
232,US-2017-100930,04-07-2017,04-12-2017,Standard Class,Home Office,United States,Tampa,Florida,33614,South,Furniture,233.86,2,0.45,-102.048
233,US-2017-100930,04-07-2017,04-12-2017,Standard Class,Home Office,United States,Tampa,Florida,33614,South,Furniture,620.6145,3,0.45,-248.2458
235,US-2017-100930,04-07-2017,04-12-2017,Standard Class,Home Office,United States,Tampa,Florida,33614,South,Furniture,258.072,3,0.2,0
239,CA-2016-157749,06-04-2016,06-09-2016,Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,419.68,5,0.6,-356.728
240,CA-2016-157749,06-04-2016,06-09-2016,Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,11.688,3,0.6,-4.6752
242,CA-2016-157749,06-04-2016,06-09-2016,Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,177.225,5,0.5,-120.513
243,CA-2016-157749,06-04-2016,06-09-2016,Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,4.044,3,0.6,-2.8308
245,CA-2014-131926,06-01-2014,06-06-2014,Second Class,Home Office,United States,Lakeville,Minnesota,55044,Central,Furniture,2001.86,7,0,580.5394
250,CA-2016-154739,12-10-2016,12/15/2016,Second Class,Consumer,United States,San Francisco,California,94109,West,Furniture,321.568,2,0.2,28.1372
255,US-2015-159982,11/28/2015,12-04-2015,Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Furniture,12.132,9,0.6,-8.4924
273,CA-2015-155334,7/30/2015,7/31/2015,First Class,Consumer,United States,San Francisco,California,94109,West,Furniture,5.28,3,0,2.3232
283,CA-2015-130890,11-02-2015,11-06-2015,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,1038.84,5,0.2,51.942
293,CA-2016-110772,11/20/2016,11/24/2016,Second Class,Home Office,United States,Columbus,Ohio,43229,East,Furniture,86.97,3,0.5,-48.7032
294,CA-2014-111451,12/26/2014,12/28/2014,First Class,Corporate,United States,Colorado Springs,Colorado,80906,West,Furniture,300.416,8,0.2,78.8592
295,CA-2014-111451,12/26/2014,12/28/2014,First Class,Corporate,United States,Colorado Springs,Colorado,80906,West,Furniture,230.352,3,0.2,20.1558
296,CA-2014-111451,12/26/2014,12/28/2014,First Class,Corporate,United States,Colorado Springs,Colorado,80906,West,Furniture,218.352,3,0.2,-24.5646
302,CA-2016-142545,10/28/2016,11-03-2016,Standard Class,Corporate,United States,Belleville,New Jersey,7109,East,Furniture,77.6,4,0,38.024
304,US-2017-152380,11/19/2017,11/23/2017,Standard Class,Consumer,United States,Chicago,Illinois,60623,Central,Furniture,219.075,3,0.5,-131.445
305,CA-2015-144253,05-04-2015,05-09-2015,Second Class,Corporate,United States,New York City,New York,10024,East,Furniture,26.8,2,0,12.864
310,CA-2016-142902,09-12-2016,9/14/2016,Second Class,Corporate,United States,Arvada,Colorado,80004,West,Furniture,15.136,4,0.2,3.5948
311,CA-2016-142902,09-12-2016,9/14/2016,Second Class,Corporate,United States,Arvada,Colorado,80004,West,Furniture,466.768,2,0.2,52.5114
312,CA-2016-142902,09-12-2016,9/14/2016,Second Class,Corporate,United States,Arvada,Colorado,80004,West,Furniture,15.232,1,0.2,1.7136
314,CA-2014-120887,9/27/2014,10-03-2014,Standard Class,Corporate,United States,Hackensack,New Jersey,7601,East,Furniture,87.54,3,0,37.6422
318,CA-2014-164973,11-04-2014,11-09-2014,Standard Class,Home Office,United States,New York City,New York,10024,East,Furniture,135.882,1,0.1,24.1568
326,CA-2017-153339,11-03-2017,11-05-2017,Second Class,Corporate,United States,Murfreesboro,Tennessee,37130,South,Furniture,15.992,1,0.2,0.9995
329,US-2016-141544,8/30/2016,09-01-2016,First Class,Consumer,United States,Philadelphia,Pennsylvania,19143,East,Furniture,786.744,4,0.3,-258.5016
339,CA-2014-129924,07-12-2014,7/17/2014,Standard Class,Corporate,United States,San Francisco,California,94122,West,Furniture,698.352,3,0.2,-17.4588
355,CA-2016-138520,04-08-2016,4/13/2016,Standard Class,Consumer,United States,New York City,New York,10035,East,Furniture,388.704,6,0.2,-4.8588
363,CA-2017-144904,9/25/2017,10-01-2017,Standard Class,Consumer,United States,New York City,New York,10009,East,Furniture,488.646,3,0.1,86.8704
365,CA-2017-144904,9/25/2017,10-01-2017,Standard Class,Consumer,United States,New York City,New York,10009,East,Furniture,47.12,8,0,20.7328
370,CA-2016-155516,10/21/2016,10/21/2016,Same Day,Corporate,United States,Manchester,Connecticut,6040,East,Furniture,1043.92,4,0,271.4192
378,US-2017-134481,8/27/2017,09-01-2017,Standard Class,Corporate,United States,Franklin,Massachusetts,2038,East,Furniture,1488.424,7,0.3,-297.6848
385,US-2015-168935,11/27/2015,12-02-2015,Standard Class,Consumer,United States,Pembroke Pines,Florida,33024,South,Furniture,375.4575,3,0.45,-157.0095
388,CA-2015-122756,12-03-2015,12-07-2015,Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Furniture,2.96,1,0.2,0.777
400,CA-2016-108987,09-08-2016,09-10-2016,Second Class,Consumer,United States,Houston,Texas,77036,Central,Furniture,2396.2656,4,0.32,-317.1528
409,CA-2017-117457,12-08-2017,12-12-2017,Standard Class,Consumer,United States,San Francisco,California,94110,West,Furniture,1004.024,7,0.2,-112.9527
413,CA-2017-117457,12-08-2017,12-12-2017,Standard Class,Consumer,United States,San Francisco,California,94110,West,Furniture,1336.829,13,0.15,31.4548
414,CA-2017-117457,12-08-2017,12-12-2017,Standard Class,Consumer,United States,San Francisco,California,94110,West,Furniture,113.568,2,0.2,-18.4548
416,CA-2017-142636,11-03-2017,11-07-2017,Standard Class,Corporate,United States,Seattle,Washington,98105,West,Furniture,307.136,4,0.2,26.8744
418,CA-2016-148796,4/14/2016,4/18/2016,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,383.8,5,0.2,38.38
423,CA-2017-125388,10/19/2017,10/23/2017,Standard Class,Corporate,United States,Lawrence,Massachusetts,1841,East,Furniture,56.56,4,0,14.7056
425,CA-2017-155705,8/21/2017,8/23/2017,Second Class,Consumer,United States,Jackson,Mississippi,39212,South,Furniture,866.4,4,0,225.264
426,CA-2017-149160,11/23/2017,11/26/2017,Second Class,Corporate,United States,Canton,Michigan,48187,Central,Furniture,28.4,2,0,11.076
440,CA-2017-157252,1/20/2017,1/23/2017,Second Class,Corporate,United States,New York City,New York,10024,East,Furniture,207.846,3,0.1,2.3094
441,CA-2016-115756,09-05-2016,09-07-2016,Second Class,Consumer,United States,Detroit,Michigan,48227,Central,Furniture,12.22,1,0,3.666
445,CA-2016-115756,09-05-2016,09-07-2016,Second Class,Consumer,United States,Detroit,Michigan,48227,Central,Furniture,242.94,3,0,29.1528
447,CA-2017-154214,3/20/2017,3/25/2017,Second Class,Consumer,United States,Columbus,Indiana,47201,Central,Furniture,2.91,1,0,1.3677
454,CA-2017-147277,10/20/2017,10/24/2017,Standard Class,Corporate,United States,Akron,Ohio,44312,East,Furniture,284.364,2,0.4,-75.8304
457,US-2014-110674,02-12-2014,2/18/2014,Standard Class,Consumer,United States,Concord,California,94521,West,Furniture,129.568,2,0.2,-24.294
458,US-2016-157945,9/26/2016,10-01-2016,Standard Class,Consumer,United States,Decatur,Illinois,62521,Central,Furniture,747.558,3,0.3,-96.1146
463,CA-2016-109869,4/22/2016,4/29/2016,Standard Class,Home Office,United States,Phoenix,Arizona,85023,West,Furniture,23.56,5,0.2,7.068
464,CA-2016-109869,4/22/2016,4/29/2016,Standard Class,Home Office,United States,Phoenix,Arizona,85023,West,Furniture,1272.63,6,0.5,-814.4832
468,US-2015-101399,1/17/2015,1/24/2015,Standard Class,Home Office,United States,Park Ridge,Illinois,60068,Central,Furniture,254.744,7,0.6,-312.0614
469,CA-2017-154907,3/31/2017,04-04-2017,Standard Class,Corporate,United States,Amarillo,Texas,79109,Central,Furniture,205.3328,2,0.32,-36.2352
473,CA-2014-144666,11-09-2014,11-11-2014,Second Class,Consumer,United States,San Francisco,California,94110,West,Furniture,222.666,2,0.15,10.4784
479,CA-2016-152632,10/27/2016,11-02-2016,Standard Class,Consumer,United States,Troy,New York,12180,East,Furniture,40.2,3,0,19.296
486,CA-2017-140963,06-10-2017,6/13/2017,First Class,Home Office,United States,Los Angeles,California,90045,West,Furniture,514.165,5,0.15,-30.245
495,US-2016-120929,3/18/2016,3/21/2016,Second Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,189.882,3,0.4,-94.941
498,CA-2016-126158,7/25/2016,7/31/2016,Standard Class,Consumer,United States,Costa Mesa,California,92627,West,Furniture,255.76,4,0,81.8432
499,CA-2016-126158,7/25/2016,7/31/2016,Standard Class,Consumer,United States,Costa Mesa,California,92627,West,Furniture,241.568,2,0.2,18.1176
500,CA-2016-126158,7/25/2016,7/31/2016,Standard Class,Consumer,United States,Costa Mesa,California,92627,West,Furniture,69.3,9,0,22.869
503,US-2016-105578,5/30/2016,06-04-2016,Standard Class,Corporate,United States,Parker,Colorado,80134,West,Furniture,801.568,2,0.2,50.098
511,CA-2017-135307,11/26/2017,11/27/2017,First Class,Consumer,United States,Gladstone,Missouri,64118,Central,Furniture,126.3,3,0,40.416
523,CA-2017-145142,1/23/2017,1/25/2017,First Class,Corporate,United States,Detroit,Michigan,48234,Central,Furniture,210.98,2,0,21.098
527,CA-2017-113558,10/21/2017,10/26/2017,Standard Class,Home Office,United States,Lakeland,Florida,33801,South,Furniture,683.952,3,0.2,42.747
528,CA-2017-113558,10/21/2017,10/26/2017,Standard Class,Home Office,United States,Lakeland,Florida,33801,South,Furniture,45.696,3,0.2,5.1408
532,CA-2015-102848,11-07-2015,11-09-2015,Second Class,Corporate,United States,Los Angeles,California,90036,West,Furniture,190.72,1,0.2,11.92
533,US-2017-129441,09-07-2017,09-11-2017,Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,47.94,3,0,2.397
540,CA-2015-134894,12-07-2015,12-11-2015,Standard Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,283.92,4,0,70.98
546,CA-2014-103849,05-11-2014,5/16/2014,Standard Class,Consumer,United States,Fort Worth,Texas,76106,Central,Furniture,66.112,4,0.6,-84.2928
552,CA-2016-136406,4/15/2016,4/17/2016,Second Class,Consumer,United States,San Francisco,California,94110,West,Furniture,1121.568,2,0.2,0
553,CA-2017-112774,09-11-2017,09-12-2017,First Class,Consumer,United States,Jacksonville,Florida,32216,South,Furniture,34.504,1,0.2,6.0382
558,CA-2016-113243,06-10-2016,6/15/2016,Standard Class,Consumer,United States,Los Angeles,California,90045,West,Furniture,1335.68,4,0.2,-217.048
560,CA-2017-118731,11/20/2017,11/22/2017,Second Class,Consumer,United States,San Francisco,California,94110,West,Furniture,42.6,3,0,16.614
563,CA-2014-145576,9/14/2014,9/18/2014,Second Class,Consumer,United States,Tampa,Florida,33614,South,Furniture,13.128,3,0.2,3.7743
570,CA-2017-156951,10-01-2017,10-08-2017,Standard Class,Corporate,United States,Seattle,Washington,98105,West,Furniture,451.152,3,0.2,0
580,CA-2017-118640,7/20/2017,7/26/2017,Standard Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,8.792,1,0.6,-5.7148
587,CA-2015-128139,07-03-2015,07-09-2015,Standard Class,Consumer,United States,Richmond,Kentucky,40475,South,Furniture,70.98,1,0,4.9686
598,CA-2014-131450,08-08-2014,8/15/2014,Standard Class,Consumer,United States,San Diego,California,92024,West,Furniture,327.76,8,0,91.7728
604,CA-2014-149958,3/15/2014,3/19/2014,Standard Class,Consumer,United States,Tampa,Florida,33614,South,Furniture,45.696,3,0.2,5.1408
617,CA-2017-117947,8/18/2017,8/23/2017,Second Class,Corporate,United States,New York City,New York,10011,East,Furniture,40.48,2,0,15.7872
618,CA-2017-117947,8/18/2017,8/23/2017,Second Class,Corporate,United States,New York City,New York,10011,East,Furniture,9.94,2,0,3.0814
621,CA-2017-117947,8/18/2017,8/23/2017,Second Class,Corporate,United States,New York City,New York,10011,East,Furniture,88.02,3,0,27.2862
623,CA-2015-138009,11/29/2015,12-03-2015,Standard Class,Corporate,United States,Dearborn,Michigan,48126,Central,Furniture,301.96,2,0,87.5684
627,CA-2017-163020,9/15/2017,9/19/2017,Standard Class,Home Office,United States,New York City,New York,10009,East,Furniture,35.56,7,0,12.0904
636,CA-2015-168004,10-04-2015,10-09-2015,Second Class,Corporate,United States,Warner Robins,Georgia,31088,South,Furniture,392.94,3,0,43.2234
639,CA-2016-115917,5/20/2016,5/25/2016,Standard Class,Home Office,United States,Vallejo,California,94591,West,Furniture,1049.2,5,0,272.792
641,CA-2016-147067,12/18/2016,12/22/2016,Standard Class,Corporate,United States,Minneapolis,Minnesota,55407,Central,Furniture,18.84,3,0,6.0288
649,CA-2016-160745,12-11-2016,12/16/2016,Second Class,Corporate,United States,Vancouver,Washington,98661,West,Furniture,14.8,4,0,6.068
658,US-2016-156097,9/19/2016,9/19/2016,Same Day,Home Office,United States,Aurora,Illinois,60505,Central,Furniture,701.372,2,0.3,-50.098
662,CA-2015-146563,8/24/2015,8/28/2015,Standard Class,Consumer,United States,Arlington,Texas,76017,Central,Furniture,918.785,5,0.3,-118.1295
669,CA-2014-156314,12/24/2014,12/26/2014,First Class,Consumer,United States,Cleveland,Ohio,44105,East,Furniture,30.36,5,0.2,8.7285
670,US-2017-106663,06-09-2017,6/13/2017,Standard Class,Home Office,United States,Chicago,Illinois,60653,Central,Furniture,23.976,3,0.6,-14.3856
671,US-2017-106663,06-09-2017,6/13/2017,Standard Class,Home Office,United States,Chicago,Illinois,60653,Central,Furniture,108.925,1,0.5,-71.8905
679,US-2017-119438,3/18/2017,3/23/2017,Standard Class,Consumer,United States,Tyler,Texas,75701,Central,Furniture,82.524,3,0.6,-41.262
689,CA-2017-161480,12/25/2017,12/29/2017,Standard Class,Consumer,United States,New York City,New York,10035,East,Furniture,191.984,2,0.2,4.7996
690,US-2014-117135,6/21/2014,6/23/2014,Second Class,Consumer,United States,Waynesboro,Virginia,22980,South,Furniture,104.01,1,0,14.5614
702,CA-2017-114552,09-02-2017,09-08-2017,Standard Class,Corporate,United States,Cleveland,Ohio,44105,East,Furniture,15.072,3,0.2,4.1448
703,CA-2016-163755,11-04-2016,11-08-2016,Second Class,Corporate,United States,Seattle,Washington,98103,West,Furniture,209.88,3,0,35.6796
704,CA-2015-142027,04-09-2015,4/14/2015,Standard Class,Consumer,United States,Long Beach,California,90805,West,Furniture,369.912,3,0.2,-13.8717
709,CA-2014-112158,12-02-2014,12-04-2014,First Class,Consumer,United States,New York City,New York,10035,East,Furniture,883.92,5,0.2,-110.49
717,CA-2014-130092,01-11-2014,1/14/2014,First Class,Consumer,United States,Dover,Delaware,19901,East,Furniture,9.94,2,0,3.0814
718,CA-2017-108910,9/24/2017,9/29/2017,Standard Class,Consumer,United States,Newark,Ohio,43055,East,Furniture,103.056,3,0.2,24.4758
720,CA-2014-104472,06-02-2014,06-07-2014,Standard Class,Home Office,United States,Orem,Utah,84057,West,Furniture,73.32,6,0,21.996
722,CA-2016-142335,12/15/2016,12/19/2016,Standard Class,Corporate,United States,Detroit,Michigan,48205,Central,Furniture,1652.94,3,0,231.4116
724,CA-2014-117429,10-07-2014,10/13/2014,Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19140,East,Furniture,129.92,5,0.2,21.112
729,US-2016-150861,12-03-2016,12-06-2016,First Class,Consumer,United States,Oceanside,New York,11572,East,Furniture,400.032,2,0.4,-153.3456
731,US-2016-150861,12-03-2016,12-06-2016,First Class,Consumer,United States,Oceanside,New York,11572,East,Furniture,542.646,3,0.1,102.4998
737,CA-2017-131954,1/21/2017,1/25/2017,Standard Class,Home Office,United States,Seattle,Washington,98115,West,Furniture,84.98,1,0,18.6956
747,CA-2014-124429,5/27/2014,5/27/2014,Same Day,Corporate,United States,San Diego,California,92105,West,Furniture,567.12,10,0.2,-28.356
751,CA-2017-126074,10-02-2017,10-06-2017,Standard Class,Consumer,United States,Trenton,Michigan,48183,Central,Furniture,157.74,11,0,56.7864
755,CA-2015-135272,12-07-2015,12-12-2015,Standard Class,Consumer,United States,Los Angeles,California,90036,West,Furniture,79.92,4,0,28.7712
756,CA-2016-140928,9/18/2016,9/22/2016,Standard Class,Corporate,United States,Jacksonville,Florida,32216,South,Furniture,383.438,4,0.45,-167.3184
769,CA-2014-106810,5/14/2014,5/20/2014,Standard Class,Corporate,United States,Saint Petersburg,Florida,33710,South,Furniture,310.88,2,0.2,23.316
770,CA-2016-157245,5/19/2016,5/24/2016,Standard Class,Consumer,United States,Arlington,Virginia,22204,South,Furniture,641.96,2,0,179.7488
776,CA-2017-104220,1/30/2017,02-05-2017,Standard Class,Corporate,United States,Des Moines,Iowa,50315,Central,Furniture,34.58,7,0,14.5236
778,CA-2015-144267,8/21/2015,8/23/2015,First Class,Home Office,United States,San Francisco,California,94110,West,Furniture,544.008,3,0.2,40.8006
784,US-2015-157014,10-03-2015,10-06-2015,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Furniture,35.49,1,0.5,-15.6156
788,CA-2015-154620,12-12-2015,12/16/2015,Standard Class,Consumer,United States,Lancaster,California,93534,West,Furniture,348.928,2,0.2,34.8928
792,CA-2015-115938,6/26/2015,6/30/2015,Standard Class,Consumer,United States,Richmond,Virginia,23223,South,Furniture,332.94,3,0,79.9056
800,CA-2015-101910,11/27/2015,12-03-2015,Standard Class,Consumer,United States,Lake Elsinore,California,92530,West,Furniture,283.92,5,0.2,17.745
801,CA-2017-105809,2/20/2017,2/23/2017,First Class,Corporate,United States,San Diego,California,92105,West,Furniture,22.23,1,0,7.3359
805,CA-2017-135783,4/22/2017,4/24/2017,First Class,Consumer,United States,San Francisco,California,94122,West,Furniture,18.28,2,0,6.2152
808,CA-2015-140921,02-03-2015,02-05-2015,First Class,Consumer,United States,Omaha,Nebraska,68104,Central,Furniture,28.4,2,0,11.076
811,CA-2014-151995,10/13/2014,10/15/2014,First Class,Consumer,United States,Edmonds,Washington,98026,West,Furniture,1298.55,5,0,311.652
814,CA-2017-143686,5/14/2017,5/14/2017,Same Day,Consumer,United States,Santa Ana,California,92704,West,Furniture,18.28,2,0,6.2152
820,CA-2014-140858,6/28/2014,07-02-2014,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,1228.465,5,0.3,0
830,CA-2017-129462,6/16/2017,6/21/2017,Second Class,Consumer,United States,Florence,Kentucky,41042,South,Furniture,301.96,2,0,90.588
842,CA-2015-100454,11/20/2015,11/25/2015,Standard Class,Corporate,United States,New York City,New York,10035,East,Furniture,186.048,4,0.2,9.3024
848,CA-2015-114300,10/13/2015,10/17/2015,Standard Class,Consumer,United States,Louisville,Kentucky,40214,South,Furniture,287.94,3,0,77.7438
849,CA-2017-107503,01-01-2017,01-06-2017,Standard Class,Consumer,United States,Lorain,Ohio,44052,East,Furniture,48.896,4,0.2,8.5568
854,CA-2016-123274,2/19/2016,2/24/2016,Standard Class,Consumer,United States,New York City,New York,10035,East,Furniture,44.46,2,0,14.6718
867,CA-2014-149020,01-10-2014,1/15/2014,Standard Class,Corporate,United States,Springfield,Virginia,22153,South,Furniture,51.94,1,0,21.2954
876,CA-2016-116736,1/17/2016,1/21/2016,Standard Class,Home Office,United States,Concord,New Hampshire,3301,East,Furniture,322.59,3,0,64.518
881,CA-2017-111689,11/30/2017,12-02-2017,Second Class,Home Office,United States,New York City,New York,10024,East,Furniture,1242.9,5,0.1,262.39
884,CA-2016-165148,10/22/2016,10/24/2016,First Class,Home Office,United States,Detroit,Michigan,48227,Central,Furniture,31.4,5,0,10.048
885,CA-2014-134061,4/29/2014,05-04-2014,Standard Class,Consumer,United States,Rochester,New York,14609,East,Furniture,17.46,2,0,5.9364
907,CA-2017-143259,12/30/2017,01-03-2018,Standard Class,Consumer,United States,New York City,New York,10009,East,Furniture,323.136,4,0.2,12.1176
913,CA-2015-133627,5/31/2015,06-07-2015,Standard Class,Home Office,United States,Norwich,Connecticut,6360,East,Furniture,22.2,6,0,9.102
914,CA-2017-102519,11/27/2017,11/29/2017,First Class,Corporate,United States,Milwaukee,Wisconsin,53209,Central,Furniture,46.94,1,0,19.2454
916,US-2014-141215,6/15/2014,6/21/2014,Standard Class,Corporate,United States,San Antonio,Texas,78207,Central,Furniture,99.918,2,0.3,-18.5562
917,US-2014-141215,6/15/2014,6/21/2014,Standard Class,Corporate,United States,San Antonio,Texas,78207,Central,Furniture,797.944,4,0.3,-56.996
