 Stone 650 ,"
Sale price₹ 1,999",60% off,107 reviews,"★
  4.9
    ",Great,Superb quality of music experience but expecting type-c port for charging from boAt at this price point
 Stone 650 ,"
Sale price₹ 1,999",60% off,107 reviews,"★
  4.9
    ",,boAt Stone 650
 Stone 650 ,"
Sale price₹ 1,999",60% off,107 reviews,"★
  4.9
    ",good music sound,very nice.
 Stone 650 ,"
Sale price₹ 1,999",60% off,107 reviews,"★
  4.9
    ",Excellent build quality and Great sound quality,Really awesome 10 watt speaker at such cheap price [ got it at ₹1350]
 Stone 650 ,"
Sale price₹ 1,999",60% off,107 reviews,"★
  4.9
    ",Best product.,"Good sound and bass quality. Reasonable price . Looks very stylish, flexible so very comfortable to use."
 Stone 650 ,"
Sale price₹ 1,999",60% off,107 reviews,"★
  4.9
    ",QUALITY PRODUCT,"Sound quality is great, its price range and features its very good.
Bass is perfect..
Battery backup is excellent. In 60 % volume it will last up to 8 hrs.
Black color looks premium.
The buttons feels a bit tight."
Stone 1200F ,"
Sale price₹ 3,999",43% off,38 reviews,"★
  5.0
    ",Boat Bluetooth Speaker 1200F,"I love the experience.   Its smart, good looking and the sound is just awesome.   Its really worth the money.."
Stone 1200F ,"
Sale price₹ 3,999",43% off,38 reviews,"★
  5.0
    ",,Good
Stone 1200F ,"
Sale price₹ 3,999",43% off,38 reviews,"★
  5.0
    ",boAt Stone 1200F,This is one of my favorite speaker in recent times. It has very good sound quality and bass is outstanding as usual from boAt.
Stone 1200F ,"
Sale price₹ 3,999",43% off,38 reviews,"★
  5.0
    ",WORTH FOR MONEY,"Amazing Bass, Loud Speaker under 3,000 ₹, Long Carrying Strap."
Stone 1200F ,"
Sale price₹ 3,999",43% off,38 reviews,"★
  5.0
    ",,Good product
Stone 1200F ,"
Sale price₹ 3,999",43% off,38 reviews,"★
  5.0
    ",,boAt Stone 1200F
Stone 135 ,"
Sale price₹ 899",55% off,17 reviews,"★
  4.9
    ",,"Stone 135 | Portable Bluetooth Speaker with up to 11 HRS Playback & 5W RMS Immersive Sound, IPX 4 Water Resistant"
Stone 135 ,"
Sale price₹ 899",55% off,17 reviews,"★
  4.9
    ",Nice,Awesome sound
Stone 135 ,"
Sale price₹ 899",55% off,17 reviews,"★
  4.9
    ",Nice,I love it.
Stone 135 ,"
Sale price₹ 899",55% off,17 reviews,"★
  4.9
    ",amazing & awesome bass & sound,its so good so obiuosly yoncan take it and ya it continues for 11 hrs.
Stone 135 ,"
Sale price₹ 899",55% off,17 reviews,"★
  4.9
    ",Good,Very nice product
Stone 135 ,"
Sale price₹ 899",55% off,17 reviews,"★
  4.9
    ",,Excellent sound
 Stone 180 ,"
Sale price₹ 939",62% off,20 reviews,"★
  4.8
    ",Superb 👌👌👌👌,Superb 👌👌👌👌
 Stone 180 ,"
Sale price₹ 939",62% off,20 reviews,"★
  4.8
    ",,"boAt Stone 180 | Bluetooth Speaker with 5W signature sound, Up to 8 Hours of Playtime, IPX7 Sweat & Water Resistance"
 Stone 180 ,"
Sale price₹ 939",62% off,20 reviews,"★
  4.8
    ",Performance,"Best quality of sound and battery...
(FULL PAISA WASOOL)"
 Stone 180 ,"
Sale price₹ 939",62% off,20 reviews,"★
  4.8
    ",,Good
 Stone 180 ,"
Sale price₹ 939",62% off,20 reviews,"★
  4.8
    ",boat 180,good
 Stone 180 ,"
Sale price₹ 939",62% off,20 reviews,"★
  4.8
    ",Excellent,It’s good product 👍
 Rugby Plus ,"
Sale price₹ 1,999",60% off,11 reviews,"★
  4.6
    ",,boAt Rugby Plus
 Rugby Plus ,"
Sale price₹ 1,999",60% off,11 reviews,"★
  4.6
    ",Good,Excellent performance
 Rugby Plus ,"
Sale price₹ 1,999",60% off,11 reviews,"★
  4.6
    ",Boat Rugby Plus,"Superb one. Full satsfaction of purchase. In such a low range of price, definately you will experience all the features of the product to be true and mindblowing...."
 Rugby Plus ,"
Sale price₹ 1,999",60% off,11 reviews,"★
  4.6
    ",,It's awesome
 Rugby Plus ,"
Sale price₹ 1,999",60% off,11 reviews,"★
  4.6
    ",GOOD,"INTRODUCTION AND SIGNING OFF WOUND IS SO LOUDER, PERFORMANCE IS GOOD"
 Rugby Plus ,"
Sale price₹ 1,999",60% off,11 reviews,"★
  4.6
    ",Nice product,"I am satisfied with the sound quality of boat rugby plus 
Thanks"
Stone 500 ,"
Sale price₹ 1,999",33% off,8 reviews,"★
  4.9
    ",𝚅𝚎𝚛𝚢 𝚐𝚘𝚘𝚍  𝚙𝚛𝚘𝚍𝚞𝚌𝚝,𝙸 𝚕𝚒𝚔𝚎 𝚒𝚝
Stone 500 ,"
Sale price₹ 1,999",33% off,8 reviews,"★
  4.9
    ",Boat stone 500🔥,Boat stone 500 is the best speaker should buy no often with speaker good work boat👍☺
Stone 500 ,"
Sale price₹ 1,999",33% off,8 reviews,"★
  4.9
    ",Awesome,"Great delivery, product is great too with the mentioned product.
Good volume quality and the light is awesome too..
Loved the product.
Keep going! 🌻"
Stone 500 ,"
Sale price₹ 1,999",33% off,8 reviews,"★
  4.9
    ",,boAt Stone 500
Stone 500 ,"
Sale price₹ 1,999",33% off,8 reviews,"★
  4.9
    ",,A good quality product
Stone 500 ,"
Sale price₹ 1,999",33% off,8 reviews,"★
  4.9
    ",,boAt Stone 500
ProductName,ProductPrice,Discount,NumberofReviews,Rate,Review,Summary
 Aavante Bar 550 ,"
Sale price₹ 1,999",50% off,6 reviews,"★
  4.7
    ",Excellent Product,This product is very good and sound quality is very high and smooth. Battery backup is also very good. Clear and acoustic sound gives you 100% satisfaction to your money.
 Aavante Bar 550 ,"
Sale price₹ 1,999",50% off,6 reviews,"★
  4.7
    ",Best in class,Good audio and base quality
 Aavante Bar 550 ,"
Sale price₹ 1,999",50% off,6 reviews,"★
  4.7
    ",boAT Avante Bar 550,Very good product. Came early. Sound quality is excellent.
 Aavante Bar 550 ,"
Sale price₹ 1,999",50% off,6 reviews,"★
  4.7
    ",good quality,crisp clear sound n loud enough to fill a medium size room. good option for those who dnt want sub woofer n extra speakers.
 Aavante Bar 550 ,"
Sale price₹ 1,999",50% off,6 reviews,"★
  4.7
    ",Amazing sound quality,Awesome sound and base is clear.
 Aavante Bar 550 ,"
Sale price₹ 1,999",50% off,6 reviews,"★
  4.7
    ",Excellent Product,"Good output, excellent look, but the charging goes up to 80% only not going above that"
 Aavante Bar 1500 ,"
Sale price₹ 9,499",44% off,13 reviews,"★
  4.9
    ",Good,Good
 Aavante Bar 1500 ,"
Sale price₹ 9,499",44% off,13 reviews,"★
  4.9
    ",Awesome,❤️
 Aavante Bar 1500 ,"
Sale price₹ 9,499",44% off,13 reviews,"★
  4.9
    ",the Best Soundbar,Best soundbar with best subwoofer
 Aavante Bar 1500 ,"
Sale price₹ 9,499",44% off,13 reviews,"★
  4.9
    ",,Good product
 Aavante Bar 1500 ,"
Sale price₹ 9,499",44% off,13 reviews,"★
  4.9
    ",Great Product,The sound quality is best in this price segment . The only issue are the long wires.
 Aavante Bar 1500 ,"
Sale price₹ 9,499",44% off,13 reviews,"★
  4.9
    ",Boat Aavante 1500,One of the best speakers you could afford in such a low price with such an effective sound quality
 Aavante Bar 2000 ,"
Sale price₹ 10,999",56% off,7 reviews,"★
  4.9
    ",Best quality of the product,"The object is very good, the quality is beautiful to look at, the sound is clear"
 Aavante Bar 2000 ,"
Sale price₹ 10,999",56% off,7 reviews,"★
  4.9
    ",Best quality of the product,"The object is very good, the quality is beautiful to look at, the sound is clear"
 Aavante Bar 2000 ,"
Sale price₹ 10,999",56% off,7 reviews,"★
  4.9
    ",Boat Avante sound bar 2000,"The product is superb and awsome. The packaging, delivery etc. also very good. 
But only one suggestion if the connecting cables also be provided along with the pack would have been very nice."
 Aavante Bar 2000 ,"
Sale price₹ 10,999",56% off,7 reviews,"★
  4.9
    ",Awesome Sound System,"It's just not good but Awesome product, at low volume it's produced high woofer, Me and wife watching series on MX player, just feeling theater feelings, and songs are tremendously awesome"
 Aavante Bar 2000 ,"
Sale price₹ 10,999",56% off,7 reviews,"★
  4.9
    ",great sound,I m so much happy with this avante 2000 bar..sound bas treble evrything is just perfect.. its provide a great sound...awesome boAt..😍
 Aavante Bar 2000 ,"
Sale price₹ 10,999",56% off,7 reviews,"★
  4.9
    ",Great speakers,one and only best speakers
 Aavante Bar 1250 ,"
Sale price₹ 6,999",50% off,8 reviews,"★
  4.8
    ","Amazing product , it's highly recommended","Sound is amazing, bass 🔥🔥🔥 it's a highly recommended product, its more than I expect."
 Aavante Bar 1250 ,"
Sale price₹ 6,999",50% off,8 reviews,"★
  4.8
    ",Boat 1250 its a good,sound is good and quality also very good
 Aavante Bar 1250 ,"
Sale price₹ 6,999",50% off,8 reviews,"★
  4.8
    ","It is Excellent, ( I have given here 5* because of it's build quality )","I connected this product to the laptop using AUX cable and it is working very well, But there are some issue's like :: "
 Aavante Bar 1250 ,"
Sale price₹ 6,999",50% off,8 reviews,"★
  4.8
    ",Boat 1250,Excellent Perfect clear sound
 Aavante Bar 1250 ,"
Sale price₹ 6,999",50% off,8 reviews,"★
  4.8
    ",,Worth the price
 Aavante Bar 1250 ,"
Sale price₹ 6,999",50% off,8 reviews,"★
  4.8
    ",Pretty Good,Sound clarity and bass are good. Was expecting a coaxial connection to Smart TV directly
 Aavante Bar 1400 ,"
Sale price₹ 8,999",40% off,1 review,"★
  5.0
    ",The sound bar is best at this price range....,"When I buy this home theatre, then i understand that what is boat..... The sound of this sound bar is best, the clarity it gives is epic no one can beat this soundbar... I love this.."
 Aavante Bar 1800 ,"
Sale price₹ 9,999",41% off,1 review,"★
  4.0
    ",Superb,Good performance with superb Bass
 Aavante 1600D ,"
Sale price₹ 9,999",50% off,1 review,"★
  4.0
    ",Good Bass & sound,"Price a bit higher, Sound is good. remote work well."
 Aavante Bar 900 ,"
Sale price₹ 3,499",42% off,3 reviews,"★
  5.0
    ",Money worth product,Awesome sound bar on this price range
 Aavante Bar 900 ,"
Sale price₹ 3,499",42% off,3 reviews,"★
  5.0
    ",Best,Best sound bar for the price compared to others best Aman and team 👏👏👏
 Aavante Bar 900 ,"
Sale price₹ 3,499",42% off,3 reviews,"★
  5.0
    ",Good sound quality,Very good sound bar speaker
ProductName,ProductPrice,Discount,NumberofReviews,Rate,Review,Summary
ProductName,ProductPrice,Discount,NumberofReviews,Rate,Review,Summary
 Rockerz 558 Sunburn Edition,"
Sale price₹ 1,999",60% off,1 review,"★
  4.0
    ",Good sound. Worth its price,"Product is comfy, looks premium, feels great (material hard and soft touches). The sound is above good. Music clarity is there, volume is just great. Beats, bass, treble everything is balanced enough for us to enjoy music the way want to. Rest, in other cases, we can adjust the EQ. Good product at this price."
 Airdopes 383 Sunburn Edition,"
Sale price₹ 2,499",50% off,9 reviews,"★
  5.0
    ",Excellent battery life,Can listen for almost more than 6 hours  in single charge
 Airdopes 383 Sunburn Edition,"
Sale price₹ 2,499",50% off,9 reviews,"★
  5.0
    ",,boAt Airdopes 383 Sunburn Edition
 Airdopes 383 Sunburn Edition,"
Sale price₹ 2,499",50% off,9 reviews,"★
  5.0
    ",,boAt Airdopes 383 Sunburn Edition
 Airdopes 383 Sunburn Edition,"
Sale price₹ 2,499",50% off,9 reviews,"★
  5.0
    ",,Thanks boat
 Airdopes 383 Sunburn Edition,"
Sale price₹ 2,499",50% off,9 reviews,"★
  5.0
    ",Good very good,Very good airpodes..
 Airdopes 383 Sunburn Edition,"
Sale price₹ 2,499",50% off,9 reviews,"★
  5.0
    ",Good very good,Very Good Airbuds
 Airdopes 131 Captain America Marvel Edition ,"
Sale price₹ 1,599",47% off,43 reviews,"★
  4.9
    ",,Audio quality and battery backup is much better than other products
 Airdopes 131 Captain America Marvel Edition ,"
Sale price₹ 1,599",47% off,43 reviews,"★
  4.9
    ",,The product is good but it was late delivered
 Airdopes 131 Captain America Marvel Edition ,"
Sale price₹ 1,599",47% off,43 reviews,"★
  4.9
    ",Good,Good condition
 Airdopes 131 Captain America Marvel Edition ,"
Sale price₹ 1,599",47% off,43 reviews,"★
  4.9
    ",,"Amazing product
Good sound quality
200% worth it"
 Airdopes 131 Captain America Marvel Edition ,"
Sale price₹ 1,599",47% off,43 reviews,"★
  4.9
    ",Good quality,Good
 Airdopes 131 Captain America Marvel Edition ,"
Sale price₹ 1,599",47% off,43 reviews,"★
  4.9
    ",Nice 👍,[****]
 Airdopes 131 Iron Man Marvel Edition ,"
Sale price₹ 1,599",47% off,70 reviews,"★
  4.9
    ",Best quality airdopes,These fitted my ears perfectly easy to operate and yeah these are actually good during listening songs due to their multi function button
 Airdopes 131 Iron Man Marvel Edition ,"
Sale price₹ 1,599",47% off,70 reviews,"★
  4.9
    ",Jhakkas 🔥💯🤘😎,It's awesome thank you boAt 👍
 Airdopes 131 Iron Man Marvel Edition ,"
Sale price₹ 1,599",47% off,70 reviews,"★
  4.9
    ",Super,Useful Thank u boat
 Airdopes 131 Iron Man Marvel Edition ,"
Sale price₹ 1,599",47% off,70 reviews,"★
  4.9
    ",Awesome product,Worthy product according to price. And personalization is always loved ❤️
 Airdopes 131 Iron Man Marvel Edition ,"
Sale price₹ 1,599",47% off,70 reviews,"★
  4.9
    ",Very good,Very good
 Airdopes 131 Iron Man Marvel Edition ,"
Sale price₹ 1,599",47% off,70 reviews,"★
  4.9
    ",This is amazing,Sound is too good
 Bassheads 172 Sunburn Edition,"
Sale price₹ 349",73% off,12 reviews,"★
  4.8
    ",Boat headphones,Nice sound quality
 Bassheads 172 Sunburn Edition,"
Sale price₹ 349",73% off,12 reviews,"★
  4.8
    ",Value for Money,"I got this for just 350rs including shipping and taxes. For just 350rs the sound quality it offers is just great. Also the earphones are aluminium built, which is super good. But the only problem is that the cable is only braided half, the rest of the cable is just normal rubber . But it's worth it."
 Bassheads 172 Sunburn Edition,"
Sale price₹ 349",73% off,12 reviews,"★
  4.8
    ",,boAt Bassheads 172 Sunburn Edition
 Bassheads 172 Sunburn Edition,"
Sale price₹ 349",73% off,12 reviews,"★
  4.8
    ",amezing purchase,"fast delivery , Quality of product is very nice."
 Bassheads 172 Sunburn Edition,"
Sale price₹ 349",73% off,12 reviews,"★
  4.8
    ",Awesome,Good quality of sound
 Bassheads 172 Sunburn Edition,"
Sale price₹ 349",73% off,12 reviews,"★
  4.8
    ",Superb sound quality,"Damm hard bass quality as expected from boAt , degsin is also good"
 BassHeads 152 Sunburn Edition,"
Sale price₹ 399",69% off,20 reviews,"★
  4.9
    ",Quality,Nice headset must buy value for money
 BassHeads 152 Sunburn Edition,"
Sale price₹ 399",69% off,20 reviews,"★
  4.9
    ",,boAt BassHeads 152 Sunburn Edition
 BassHeads 152 Sunburn Edition,"
Sale price₹ 399",69% off,20 reviews,"★
  4.9
    ",,boAt BassHeads 152 Sunburn Edition
 BassHeads 152 Sunburn Edition,"
Sale price₹ 399",69% off,20 reviews,"★
  4.9
    ",Excellent Earphones,This Earphones Is Very Useful
 BassHeads 152 Sunburn Edition,"
Sale price₹ 399",69% off,20 reviews,"★
  4.9
    ",,boAt BassHeads 152 Sunburn Edition
 BassHeads 152 Sunburn Edition,"
Sale price₹ 399",69% off,20 reviews,"★
  4.9
    ",,Works well looks amazing
 Rockerz 558 Sunburn Edition,"
Sale price₹ 1,999",60% off,1 review,"★
  4.0
    ",Good sound. Worth its price,"Product is comfy, looks premium, feels great (material hard and soft touches). The sound is above good. Music clarity is there, volume is just great. Beats, bass, treble everything is balanced enough for us to enjoy music the way want to. Rest, in other cases, we can adjust the EQ. Good product at this price."
 Airdopes 383 Sunburn Edition,"
Sale price₹ 2,499",50% off,9 reviews,"★
  5.0
    ",Excellent battery life,Can listen for almost more than 6 hours  in single charge
 Airdopes 383 Sunburn Edition,"
Sale price₹ 2,499",50% off,9 reviews,"★
  5.0
    ",,boAt Airdopes 383 Sunburn Edition
 Airdopes 383 Sunburn Edition,"
Sale price₹ 2,499",50% off,9 reviews,"★
  5.0
    ",,boAt Airdopes 383 Sunburn Edition
 Airdopes 383 Sunburn Edition,"
Sale price₹ 2,499",50% off,9 reviews,"★
  5.0
    ",,Thanks boat
 Airdopes 383 Sunburn Edition,"
Sale price₹ 2,499",50% off,9 reviews,"★
  5.0
    ",Good very good,Very good airpodes..
 Airdopes 383 Sunburn Edition,"
Sale price₹ 2,499",50% off,9 reviews,"★
  5.0
    ",Good very good,Very Good Airbuds
 Airdopes 131 Captain America Marvel Edition ,"
Sale price₹ 1,599",47% off,43 reviews,"★
  4.9
    ",,Audio quality and battery backup is much better than other products
 Airdopes 131 Captain America Marvel Edition ,"
Sale price₹ 1,599",47% off,43 reviews,"★
  4.9
    ",,The product is good but it was late delivered
 Airdopes 131 Captain America Marvel Edition ,"
Sale price₹ 1,599",47% off,43 reviews,"★
  4.9
    ",Good,Good condition
